history_id,client_id,total_debt,total_paid_debt
1,25,33160.5,408060.35
2,50,286235.0,433165.71
3,1,255598.49,10710.31
4,26,133990.7,471118.07
5,40,282810.1,412834.91
6,34,31517.89,283856.32
7,5,139773.17,207102.72
8,13,166800.55,306392.43
9,19,43036.8,170964.78
10,23,373725.14,674582.3
11,13,181756.21,327815.38
12,49,14354.85,29608.74
13,49,212338.01,574058.44
14,7,220338.37,564606.78
15,46,238332.82,332718.94
16,3,256937.02,390789.58
17,18,54463.03,527621.52
18,1,37694.42,176848.42
19,40,156334.76,266404.34
20,30,224734.56,61248.88
21,36,34778.9,479368.98
22,8,290381.16,188821.35
23,45,208784.05,659387.35
24,41,200491.73,512000.0
25,5,76599.39,5290.56
26,46,315821.02,690208.41
27,45,38652.77,475445.45
28,6,330837.25,336534.0
29,37,306716.44,166669.76
30,44,22693.89,120050.0
31,21,19470.12,340107.51
32,44,137144.69,327562.41
33,45,380829.26,49707.94
34,2,334256.9,71365.14
35,23,234101.26,56837.07
36,4,236230.5,388848.42
37,14,3438.15,410923.29
38,20,77007.27,488142.02
39,30,337594.53,14817.02
40,27,1502.85,620159.4
41,38,294772.12,573262.14
42,13,273738.01,491087.87
43,5,195099.24,644834.52
44,28,353594.25,675222.23
45,42,75323.29,250470.86
46,49,126257.82,6643.58
47,19,69839.72,25917.52
48,15,191181.02,352159.91
49,32,119046.5,573712.15
50,1,234527.23,557004.64
