net_cash_id,month1_income,month2_income,month3_income,month1_expenses,month2_expenses,month3_expenses,average_3month_cashflow
1,634005.14,501853.9,515223.5,516112.68,543172.28,711912.26,72.94
2,28205.76,174746.97,372933.77,288556.88,797548.59,424943.82,36.04
3,106340.85,397810.48,824314.24,426903.97,408425.49,764409.47,94.02
4,376244.55,573028.67,601060.85,486237.16,877754.65,432255.24,18.53
5,18511.85,765001.7,465018.54,81660.13,457830.91,259309.95,57.68
6,101362.67,517756.91,249930.23,704978.96,927074.42,586509.73,80.97
7,614313.22,9480.56,637945.75,938709.59,504252.27,227964.88,42.81
8,905954.62,454830.9,316882.82,421263.98,24519.97,217511.98,51.72
9,959513.03,840939.29,845245.43,754290.33,164880.3,758702.25,35.7
10,307261.25,141171.44,389829.18,500400.97,123225.63,167788.41,70.09
11,333303.07,495078.92,776603.35,979473.89,53627.73,190436.29,67.02
12,314562.19,964574.56,920547.68,510726.2,94209.34,263970.06,14.59
13,757157.96,946362.29,974067.57,908055.51,126664.88,921885.17,57.32
14,562400.97,372374.56,665056.26,288492.35,830087.41,180551.85,72.47
15,902711.5,500538.41,37513.79,327111.31,144802.92,374675.63,3.57
16,504441.59,301085.91,617843.11,185656.2,917437.52,959562.09,10.64
17,596604.93,25408.33,101892.61,430892.96,411418.24,889036.13,31.5
18,812137.55,801184.01,998162.01,961752.01,883008.54,989892.68,63.99
19,458066.77,578949.04,931637.81,77749.72,395973.93,378951.26,25.58
20,245755.04,114913.79,32071.72,306528.59,509979.81,69909.32,3.6
21,632254.04,722868.68,951686.0,840814.77,609786.76,547307.57,64.87
22,936232.48,482503.08,370690.07,511488.45,974043.49,400692.94,59.13
23,107834.97,348489.47,935048.24,295170.45,770724.79,375681.29,31.1
24,221979.5,178977.67,722319.7,303107.84,195186.82,538180.83,78.26
25,184217.43,243695.24,403530.02,499633.68,64753.45,584387.98,57.38
26,696071.89,505616.05,573149.54,590564.74,917175.12,178079.25,40.29
27,305583.0,569653.91,36564.69,131505.03,960812.0,196372.0,75.84
28,607980.25,521282.95,700041.81,231765.64,764621.0,903041.0,98.63
29,276865.05,312990.73,624760.73,732396.08,473243.26,52542.48,99.0
30,11314.16,827880.28,848476.5,930435.1,469838.01,923686.62,63.72
31,928705.54,524192.52,829101.58,410566.47,669302.08,370658.52,48.08
32,920214.29,204695.68,984009.48,689468.87,599199.0,968901.35,59.25
33,595154.03,197494.35,304967.14,485021.61,403859.76,234273.1,67.26
34,303309.91,911593.62,324817.63,820631.96,528134.83,51493.0,94.85
35,239595.55,363262.35,236353.1,714176.52,322628.85,390580.34,79.15
36,698491.76,779122.76,869905.7,134461.76,871834.23,94590.71,38.17
37,557384.6,545696.91,462101.95,57272.01,505635.24,176864.26,55.23
38,101411.58,11312.35,322338.69,690489.51,468902.51,517141.78,85.73
39,603949.86,344181.5,186696.13,6757.31,274357.46,167507.02,94.51
40,32260.95,280953.52,15996.45,63315.26,417843.24,415652.73,27.36
41,887968.17,495301.1,771493.0,610740.36,401996.57,651383.27,98.24
42,513986.72,490156.86,471855.0,967114.68,665360.85,935820.65,23.12
43,723480.46,799269.83,332009.88,757572.67,688262.86,385472.86,2.52
44,561843.42,861633.56,816484.68,200680.41,818857.09,357364.45,59.3
45,584453.39,567631.13,718096.85,680107.45,955458.7,403313.34,61.83
46,432496.55,619414.64,154061.99,592494.43,721130.17,646221.35,94.62
47,728079.08,857967.11,953144.81,89587.37,408431.53,608001.17,85.35
48,769938.1,736996.0,887905.98,373053.9,193162.92,86255.36,48.94
49,819434.42,24005.54,197538.86,329800.28,272384.77,10744.52,77.22
50,657584.32,764192.61,186325.1,936599.47,509399.76,349193.49,37.91
