loan_id,collateral,amt_paid,loan_start_date,loan_end_date
1,inventory,438039.79,2019-08-29,2019/04/25
2,House,259768.31,2019-08-05,2019/07/06
3,Car,163759.05,2019-01-10,2019/08/03
4,Cash,355540.5,2019-08-20,2019/03/30
5,House,372618.84,2019-02-27,2019/03/11
6,House,790551.63,2019-01-16,2019/07/08
7,House,373325.68,2019-02-03,2019/08/09
8,House,217093.41,2019-01-09,2019/08/25
9,inventory,462557.29,2019-07-30,2019/09/07
10,inventory,280166.51,2019-02-05,2019/08/27
11,Cash,305202.49,2019-05-14,2019/07/10
12,House,326549.29,2019-07-29,2019/03/24
13,Cash,9742.15,2019-02-06,2019/06/12
14,Cash,602629.22,2019-02-09,2019/03/16
15,Car,380082.72,2019-04-07,2019/03/25
16,Cash,496697.17,2019-07-12,2019/03/14
17,House,45837.5,2019-09-27,2019/07/08
18,Car,689449.67,2019-05-28,2019/04/28
19,Car,982263.81,2019-08-25,2019/04/04
20,Cash,626368.02,2019-08-02,2019/06/22
21,Car,363162.68,2019-01-09,2019/09/07
22,Car,807627.88,2019-07-23,2019/07/26
23,inventory,924692.3,2019-08-15,2019/06/08
24,inventory,790892.08,2019-01-15,2019/08/18
25,inventory,150157.47,2019-03-14,2019/07/05
26,House,542376.26,2019-01-13,2019/04/23
27,Car,459196.36,2019-02-09,2019/08/19
28,Cash,819489.84,2019-08-30,2019/08/28
29,inventory,342446.34,2019-05-15,2019/10/09
30,Car,448200.1,2019-07-30,2019/06/17
31,Car,661588.33,2019-04-21,2019/05/27
32,inventory,243073.77,2019-03-11,2019/05/26
33,Car,213311.35,2019-05-29,2019/05/08
34,House,534266.78,2019-09-07,2019/09/11
35,Cash,255458.52,2019-01-06,2019/08/14
36,Cash,197830.4,2019-09-27,2019/04/05
37,Cash,380144.13,2019-06-01,2019/08/14
38,Car,623394.41,2019-05-31,2019/05/19
39,inventory,755728.0,2019-02-04,2019/02/04
40,House,58776.32,2019-02-13,2019/02/26
41,inventory,603657.31,2019-09-01,2019/04/08
42,Cash,290242.0,2019-09-01,2019/06/24
43,inventory,900625.88,2019-06-02,2019/09/29
44,Cash,376832.16,2019-04-22,2019/03/13
45,House,715198.97,2019-10-01,2019/06/02
46,Cash,200613.15,2019-04-14,2019/06/24
47,Car,497701.05,2019-10-07,2019/09/13
48,Car,110069.21,2019-08-07,2019/05/24
49,House,805870.34,2019-05-31,2019/07/23
50,inventory,16589.0,2019-02-21,2019/04/11
