payment_id,client_id,payment_amount,payment_date
1,5,96246.0,2019/10/07
2,23,356218.89,2019/08/02
3,46,459656.61,2019/06/20
4,12,492584.81,2019/02/02
5,9,375744.68,2019/08/06
6,24,156634.63,2019/05/07
7,10,104254.82,2019/07/26
8,37,226333.86,2019/08/12
9,7,352311.63,2019/01/31
10,8,498934.47,2019/04/02
11,43,153464.66,2019/02/01
12,42,130024.27,2019/08/22
13,39,302312.51,2019/08/15
14,44,158890.94,2019/04/05
15,46,149948.29,2019/08/11
16,25,51249.2,2019/05/13
17,24,80249.67,2019/09/16
18,30,373053.94,2019/05/29
19,19,110137.94,2019/08/18
20,41,467543.86,2019/09/29
21,35,252848.48,2019/07/29
22,34,133314.04,2019/03/29
23,27,230670.06,2019/05/28
24,16,430252.13,2019/08/19
25,9,292397.91,2019/10/04
26,37,125908.94,2019/08/03
27,32,12097.86,2019/05/26
28,27,446803.26,2019/07/01
29,41,113297.82,2019/09/04
30,28,317980.39,2019/01/26
31,49,322363.67,2019/08/20
32,16,121098.96,2019/06/17
33,2,168478.7,2019/06/08
34,5,479217.59,2019/09/07
35,39,449743.31,2019/01/17
36,42,104597.26,2019/02/21
37,42,274603.69,2019/01/23
38,7,161652.49,2019/08/22
39,30,118729.1,2019/05/06
40,43,300818.28,2019/08/19
41,40,62703.67,2019/07/17
42,4,95768.72,2019/01/16
43,50,3844.86,2019/01/05
44,41,442516.51,2019/04/16
45,24,91362.9,2019/05/07
46,14,30644.99,2019/07/06
47,9,169311.41,2019/09/16
48,46,35742.23,2019/06/30
49,22,395199.48,2019/06/18
50,43,393378.47,2019/08/13
